	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc35	515rcbc9	515rcbc18	515rcbc15	515rcbc26	515rcbc36	515rcbc10	515rcbc25	515rcbc8	515rcbc16	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc19	515rcbc14	515rcbc32	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13	515rcbc20
alpha_rarefaction_325_7.txt	325	7	30.86697	29.77673	30.33629	32.13435	26.78235	30.98958	32.13421	29.1136	29.84591	26.929	30.99821	28.74009	27.3778	28.01022	30.35449	29.32605	28.90022	31.75028	30.40069	32.14215	29.72559	27.43174	30.32806	29.96751	28.68473	32.57052	26.33245	29.327	31.97704	28.73964
alpha_rarefaction_325_8.txt	325	8	28.49779	32.82986	29.87936	30.08664	26.64594	30.65658	30.14814	27.48405	28.74287	25.28207	28.5144	25.20745	28.9365	29.12381	28.77918	29.00911	30.83803	32.40459	30.65261	30.32659	29.29742	27.82766	28.87043	30.06157	29.99513	30.30154	29.12912	29.076	30.45366	29.2203
alpha_rarefaction_325_9.txt	325	9	31.16664	32.18951	29.80477	31.85847	28.17948	31.05296	31.12093	27.69901	26.98925	25.2711	30.22643	27.11418	31.46641	28.76719	29.83561	27.34692	29.90893	27.88136	31.00092	31.90686	28.70068	28.61598	32.80635	29.8871	28.13116	31.37732	28.091	27.70414	32.02448	29.71041
alpha_rarefaction_388_0.txt	388	0	33.02722	34.36015	31.47017	33.99552	30.82216	33.31647	34.49167	32.57814	32.05172	28.13347	33.68162	31.85662	34.28624	31.03642	32.08536	32.13997	31.77965	32.85786	31.89081	34.34102	33.27374	31.11536	36.47696	32.21245	31.15078	34.69123	33.3436	32.55271	32.31321	31.94045
alpha_rarefaction_388_1.txt	388	1	35.06576	33.39204	34.69001	32.99616	31.78558	30.99749	32.97478	30.99852	32.74068	29.59321	33.0666	28.88352	33.5402	32.47062	31.35111	32.26181	31.03977	32.44726	33.1346	35.21426	33.25474	31.61431	33.8443	30.57304	34.5497	35.42783	30.58484	31.41513	33.31328	31.64573
alpha_rarefaction_388_2.txt	388	2	32.20736	33.72927	31.15531	32.40793	28.82542	34.9329	34.37237	31.33265	30.42834	28.94364	31.70386	29.24445	33.4223	30.95493	31.95165	32.74355	32.19271	32.61334	31.5559	35.28372	32.35932	31.01307	34.87481	32.54607	34.33241	36.41614	32.14436	33.83013	32.32495	29.98835
alpha_rarefaction_388_3.txt	388	3	33.25077	34.15348	31.93148	34.23205	32.3448	32.68281	34.22909	30.762	29.71463	27.93857	33.01218	28.99368	34.31445	32.31881	32.16426	31.03052	33.72087	33.75684	32.67662	33.32431	31.18983	29.37175	33.45054	32.52798	31.94721	34.24341	30.61369	32.33665	32.53789	31.39925
alpha_rarefaction_388_4.txt	388	4	34.32912	35.09557	33.14344	34.78837	31.21637	33.77065	33.77587	32.84114	29.50075	27.19365	35.70076	30.79392	33.55125	33.9814	31.19925	31.26982	34.20834	30.41832	30.37711	33.54343	31.9922	30.85995	33.65913	32.69699	33.65064	35.10317	31.33466	33.10748	35.41101	29.17169
alpha_rarefaction_388_5.txt	388	5	32.92272	34.80258	31.08076	34.23181	30.43997	32.992	32.87415	32.19663	31.98702	27.61056	30.39165	30.9251	32.60713	34.57097	31.97478	32.99583	30.99546	32.31967	32.97318	36.62891	34.18535	31.08532	33.54844	35.35912	34.36594	36.14944	30.19636	33.05642	33.62044	30.2513
alpha_rarefaction_388_6.txt	388	6	32.07831	34.23987	30.52194	33.34718	31.09389	33.76029	33.62794	32.38651	31.05342	28.82715	32.06227	30.11501	31.08046	32.26623	29.72595	33.34173	31.36918	33.59081	33.32293	34.4856	32.63589	29.34291	33.76811	32.04632	31.7785	33.26694	31.01392	33.67459	33.2926	29.54991
