	515rcbc9	515rcbc8	515rcbc19	515rcbc18	515rcbc11	515rcbc10	515rcbc35	515rcbc12	515rcbc15	515rcbc32	515rcbc17	515rcbc16	515rcbc37	515rcbc36	515rcbc13	515rcbc34	515rcbc33	515rcbc14	515rcbc20	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc30	515rcbc31
515rcbc17	0.211270953125	0.279010171875	0.231281234375	0.185501546875	0.27303171875	0.207952265625	0.265949578125	0.402029359375	0.200659	0.276384375	0.0	0.240111609375	0.23764459375	0.47560403125	0.266937640625	0.18826740625	0.223450234375	0.25162484375	0.25011696875	0.250296171875	0.1947468125	0.263125328125	0.199919046875	0.31168553125	0.202402859375	0.235783578125	0.221275421875	0.201204796875	0.22861878125	0.267129625
515rcbc16	0.234465625	0.23648034375	0.2010906875	0.2558403125	0.188939671875	0.22285146875	0.31525778125	0.34829334375	0.312187828125	0.209613640625	0.240111609375	0.0	0.226292109375	0.440442234375	0.24989409375	0.271227765625	0.2383839375	0.240344671875	0.242333859375	0.2951411875	0.217698859375	0.2265053125	0.28144253125	0.229184296875	0.28429503125	0.24770640625	0.21103034375	0.24118984375	0.288386359375	0.221387359375
515rcbc37	0.224734765625	0.242264359375	0.186147078125	0.217496796875	0.21688240625	0.210949046875	0.259856140625	0.305813359375	0.260771625	0.2504385	0.23764459375	0.226292109375	0.0	0.41910528125	0.219536234375	0.22361440625	0.248088171875	0.267801	0.191693	0.274558328125	0.22702465625	0.243291140625	0.256984015625	0.3101063125	0.270625671875	0.202019390625	0.250564578125	0.183875015625	0.23483471875	0.21924659375
515rcbc36	0.462509953125	0.424138671875	0.408739390625	0.465476203125	0.409952625	0.441560078125	0.502349859375	0.397150640625	0.5028595	0.4473505625	0.47560403125	0.440442234375	0.41910528125	0.0	0.445528828125	0.46700859375	0.490430234375	0.4976088125	0.40538315625	0.486085203125	0.48048303125	0.444159140625	0.505605671875	0.46701678125	0.518919765625	0.422141203125	0.497973921875	0.442729421875	0.49247884375	0.4057960625
515rcbc13	0.2693849375	0.26898509375	0.2195010625	0.21874134375	0.253498546875	0.21027665625	0.28752290625	0.2885464375	0.252965203125	0.262319421875	0.266937640625	0.24989409375	0.219536234375	0.445528828125	0.0	0.228146140625	0.25056740625	0.247618734375	0.202045921875	0.22157540625	0.230705828125	0.2523245	0.2524809375	0.302248703125	0.2706853125	0.19172353125	0.24607121875	0.2125791875	0.279061265625	0.246277640625
515rcbc34	0.220828265625	0.282104421875	0.243780890625	0.191346671875	0.2866193125	0.220556953125	0.237882921875	0.364967765625	0.196157875	0.294036125	0.18826740625	0.271227765625	0.22361440625	0.46700859375	0.228146140625	0.0	0.257115953125	0.2646071875	0.2403581875	0.247099265625	0.21431303125	0.265469546875	0.194889078125	0.348767125	0.182362296875	0.236490078125	0.226285734375	0.182953109375	0.2037926875	0.28136378125
515rcbc33	0.2620293125	0.27465603125	0.229890875	0.2264104375	0.247490609375	0.21637971875	0.31703353125	0.39449421875	0.275238578125	0.226546578125	0.223450234375	0.2383839375	0.248088171875	0.490430234375	0.25056740625	0.257115953125	0.0	0.196371703125	0.253300046875	0.26418815625	0.179777046875	0.3051080625	0.24703021875	0.268490546875	0.27540825	0.24819984375	0.2243306875	0.2508945	0.289089671875	0.251242734375
515rcbc14	0.284965640625	0.295624734375	0.260460640625	0.252335203125	0.2479110625	0.248353515625	0.341614578125	0.358470640625	0.309023375	0.2673065625	0.25162484375	0.240344671875	0.267801	0.4976088125	0.247618734375	0.2646071875	0.196371703125	0.0	0.26239671875	0.281001671875	0.18948575	0.281803015625	0.281160296875	0.26450125	0.295053703125	0.245277453125	0.235150265625	0.246136734375	0.32545215625	0.277582625
515rcbc20	0.263515421875	0.249303328125	0.200994203125	0.225348484375	0.23165934375	0.221537078125	0.300694734375	0.273790765625	0.27060853125	0.2682859375	0.25011696875	0.242333859375	0.191693	0.40538315625	0.202045921875	0.2403581875	0.253300046875	0.26239671875	0.0	0.274647109375	0.24030834375	0.239474578125	0.271112171875	0.31193778125	0.290201578125	0.172246859375	0.268895234375	0.211038953125	0.27651109375	0.234820375
515rcbc21	0.29335546875	0.2961129375	0.23713553125	0.19924496875	0.294152578125	0.23255859375	0.29214584375	0.35618259375	0.265149296875	0.251743203125	0.250296171875	0.2951411875	0.274558328125	0.486085203125	0.22157540625	0.247099265625	0.26418815625	0.281001671875	0.274647109375	0.0	0.234528328125	0.3116098125	0.2443195	0.329495828125	0.25511675	0.2765070625	0.27091625	0.2604100625	0.281385296875	0.266765140625
