	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc35	515rcbc9	515rcbc18	515rcbc15	515rcbc26	515rcbc36	515rcbc10	515rcbc25	515rcbc8	515rcbc16	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc19	515rcbc14	515rcbc32	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13	515rcbc20
alpha_rarefaction_136_9.txt	136	9	697.8	848.857142857	572.111111111	518.25	345.588235294	447.230769231	477.714285714	424.4	369.066666667	594.5	339.214285714	745.857142857	399.5	686.333333333	497.909090909	535.8	484.083333333	563.0	545.25	611.5	488.545454545	339.8125	477.714285714	394.071428571	663.0	513.230769231	627.25	438.076923077	418.0	446.571428571
alpha_rarefaction_199_0.txt	199	0	651.476190476	911.714285714	584.176470588	668.666666667	451.130434783	527.588235294	1018.6	472.75	553.368421053	437.375	773.0	379.37037037	440.0	1336.625	573.058823529	558.894736842	544.666666667	366.5	614.142857143	498.391304348	723.176470588	323.0	591.3	435.3	453.5	488.5	525.5	588.5	628.8	434.636363636
alpha_rarefaction_199_1.txt	199	1	700.0	423.964285714	605.555555556	688.166666667	596.4	675.0	484.565217391	675.105263158	424.368421053	489.4375	376.291666667	453.454545455	456.526315789	1079.66666667	510.954545455	651.0625	672.0	498.117647059	426.916666667	828.5625	885.5	459.4	607.619047619	514.526315789	606.882352941	838.6875	572.105263158	573.666666667	581.0	521.05
alpha_rarefaction_199_2.txt	199	2	695.833333333	532.272727273	430.75	683.473684211	524.789473684	498.117647059	558.285714286	714.0	484.235294118	388.647058824	761.214285714	680.176470588	514.0	540.047619048	611.666666667	566.473684211	598.315789474	513.954545455	591.5	990.461538462	413.5	523.789473684	631.055555556	626.8	562.476190476	593.681818182	943.0	577.0	519.681818182	392.384615385
alpha_rarefaction_199_3.txt	199	3	734.352941176	606.555555556	662.0	632.117647059	638.071428571	583.8125	540.5	445.105263158	649.2	377.157894737	456.454545455	558.055555556	619.0	529.5	466.05	492.956521739	581.272727273	547.75	433.714285714	852.4	637.647058824	446.130434783	596.9	539.071428571	471.913043478	549.64	760.461538462	421.125	493.045454545	464.619047619
alpha_rarefaction_199_4.txt	199	4	526.454545455	666.55	562.4	522.047619048	327.681818182	537.136363636	513.791666667	601.954545455	533.105263158	366.714285714	538.473684211	622.625	549.434782609	543.75	368.875	539.473684211	526.15	705.461538462	553.333333333	416.8	990.545454545	581.75	877.071428571	567.473684211	674.352941176	651.5	662.571428571	583.555555556	639.333333333	583.789473684
alpha_rarefaction_199_5.txt	199	5	576.105263158	694.866666667	649.235294118	713.9	335.115384615	555.05	519.44	940.0	365.8	349.352941176	559.894736842	845.75	501.476190476	508.315789474	693.230769231	581.555555556	1017.36363636	502.157894737	564.476190476	799.4	645.666666667	345.111111111	643.55	565.473684211	385.8	636.65	819.428571429	620.833333333	554.05	343.2
alpha_rarefaction_199_6.txt	199	6	551.142857143	519.05	780.066666667	441.541666667	408.545454545	820.0	675.105263158	504.476190476	393.217391304	457.571428571	505.84	565.833333333	559.4	760.4375	538.473684211	619.428571429	606.882352941	496.714285714	523.047619048	560.055555556	565.125	461.315789474	573.136363636	472.75	502.0	499.636363636	562.833333333	630.055555556	679.0625	322.090909091
alpha_rarefaction_199_7.txt	199	7	508.375	432.636363636	574.666666667	790.2	354.24	624.625	614.25	600.588235294	493.15	375.052631579	723.3125	969.833333333	670.0	588.3	633.375	686.1875	589.5	665.588235294	514.12	514.12	634.0	550.333333333	533.272727273	481.0	654.0625	713.9375	451.8	467.652173913	597.315789474	427.615384615
alpha_rarefaction_199_8.txt	199	8	847.875	1045.54545455	485.5	532.272727273	360.956521739	413.260869565	708.894736842	482.0	611.214285714	366.714285714	467.05	648.0625	637.333333333	513.956521739	709.5	508.285714286	771.647058824	809.0	396.103448276	908.461538462	642.157894737	503.157894737	778.875	938.0	506.0	772.647058824	728.571428571	691.714285714	793.5	414.375
alpha_rarefaction_199_9.txt	199	9	671.0	621.0	743.714285714	821.076923077	478.5	510.315789474	517.956521739	569.473684211	385.181818182	388.647058824	732.75	595.4	459.434782609	625.0	588.5	478.217391304	766.461538462	661.0	416.5	576.25	423.043478261	664.571428571	659.5	435.0	830.230769231	897.75	692.714285714	604.157894737	470.75	364.7
alpha_rarefaction_262_0.txt	262	0	612.433333333	459.625	564.64	642.777777778	600.454545455	852.105263158	700.035714286	550.555555556	454.677419355	528.681818182	541.833333333	489.37037037	541.5	761.954545455	681.391304348	540.21875	530.956521739	895.142857143	615.75	641.1	766.714285714	929.526315789	523.676470588	823.315789474	505.387096774	1239.0	846.055555556	601.857142857	569.096774194	421.56097561
alpha_rarefaction_262_1.txt	262	1	529.527777778	743.2	488.935483871	720.375	658.666666667	577.625	1073.2	690.181818182	660.956521739	430.125	571.2	658.545454545	534.0	620.272727273	669.869565217	540.217391304	851.055555556	657.0	707.8	692.12	822.315789474	457.46875	905.2	645.416666667	511.583333333	512.27027027	805.913043478	708.913043478	515.0	828.714285714
alpha_rarefaction_262_2.txt	262	2	667.033333333	580.037037037	757.772727273	549.7	468.088235294	691.12	721.555555556	511.941176471	464.285714286	632.0	486.090909091	619.12	514.25	504.333333333	693.037037037	576.5	581.0	547.0	714.2	1082.16666667	850.105263158	478.777777778	749.8	639.8	593.25	735.666666667	1171.21428571	618.24	640.964285714	466.029411765
alpha_rarefaction_262_3.txt	262	3	496.166666667	618.275862069	978.0625	660.0	644.055555556	733.5	816.0	462.028571429	538.8	762.928571429	646.0	583.538461538	643.0	754.0	533.307692308	597.730769231	732.260869565	636.913043478	539.307692308	952.454545455	652.625	583.444444444	939.3	741.130434783	650.0	605.888888889	770.142857143	549.64	554.0	475.125
alpha_rarefaction_262_4.txt	262	4	796.434782609	719.375	479.129032258	563.794117647	501.5	622.666666667	783.454545455	713.791666667	523.037037037	459.130434783	559.034482759	603.714285714	684.0	708.791666667	611.0	630.903225806	831.0	605.384615385	567.035714286	650.625	677.391304348	436.176470588	489.0	516.78125	1315.54545455	662.5	972.0	715.652173913	549.0	481.081081081
alpha_rarefaction_262_5.txt	262	5	677.037037037	777.541666667	595.115384615	939.3	504.956521739	799.0	607.551724138	635.0	586.416666667	525.05	850.666666667	486.285714286	909.105263158	708.636363636	740.75	786.4	773.181818182	853.105263158	556.625	642.1	520.375	783.647058824	744.2	778.130434783	511.615384615	863.111111111	1081.25	1004.4	570.090909091	515.0
alpha_rarefaction_262_6.txt	262	6	905.285714286	684.84	585.416666667	652.038461538	589.0	696.75	697.44	705.217391304	538.181818182	605.5	743.130434783	678.391304348	771.625	642.217391304	609.433333333	510.757575758	929.526315789	693.0	558.777777778	765.444444444	671.037037037	562.64	797.5	654.12	770.4	648.115384615	828.588235294	754.916666667	728.0	542.307692308
